CompleteName	FileID	FileName	DataCategory	DataType	ProjectID	CaseID	SampleID	SampleType	paired	MTHFD2_expression
fab111fa-2506-4ae4-924e-d8e80e8eec42/7cd2635c-b115-465c-917b-34815895409d.FPKM.txt.gz	fab111fa-2506-4ae4-924e-d8e80e8eec42	7cd2635c-b115-465c-917b-34815895409d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20Q	TCGA-BT-A20Q-11A	Solid Tissue Normal	paired	4.422641639473758
b424b1c1-b1d2-4cf7-99a9-992b03b92a39/95622ade-3084-4ddb-93a1-e6baac7769f7.FPKM.txt.gz	b424b1c1-b1d2-4cf7-99a9-992b03b92a39	95622ade-3084-4ddb-93a1-e6baac7769f7.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3WX	TCGA-DK-A3WX-01A	Primary Tumor	unpaired	5.908893852427039
aad59442-6453-4d23-b841-7192b2455474/e9e955be-706d-464a-afba-37a52b19e092.FPKM.txt.gz	aad59442-6453-4d23-b841-7192b2455474	e9e955be-706d-464a-afba-37a52b19e092.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A2C5	TCGA-GD-A2C5-11A	Solid Tissue Normal	paired	3.5449392190399176
28928568-b76f-4d83-854a-bc8a3c0b0318/cfe77bce-236e-4927-a318-404d15f30504.FPKM.txt.gz	28928568-b76f-4d83-854a-bc8a3c0b0318	cfe77bce-236e-4927-a318-404d15f30504.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-YF-AA3L	TCGA-YF-AA3L-01A	Primary Tumor	unpaired	2.2426914790442067
457fecdc-8473-4c76-af82-e3f0e8d4364e/83db4be1-0adb-49ff-826d-190b6968a82e.FPKM.txt.gz	457fecdc-8473-4c76-af82-e3f0e8d4364e	83db4be1-0adb-49ff-826d-190b6968a82e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A2LA	TCGA-BT-A2LA-01A	Primary Tumor	paired	5.9841777889258925
57fffc3d-12d4-4d58-85d8-4047a2ef5f8b/0df5ed77-67ee-436a-b4e2-63a4ec8b557c.FPKM.txt.gz	57fffc3d-12d4-4d58-85d8-4047a2ef5f8b	0df5ed77-67ee-436a-b4e2-63a4ec8b557c.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA87	TCGA-4Z-AA87-01A	Primary Tumor	unpaired	7.331091301790893
bf1f3987-0aea-49f2-bd30-48c6ab2ca00f/e5bdbaee-23f8-4024-aa6d-51efeee22e7c.FPKM.txt.gz	bf1f3987-0aea-49f2-bd30-48c6ab2ca00f	e5bdbaee-23f8-4024-aa6d-51efeee22e7c.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A2LB	TCGA-BT-A2LB-01A	Primary Tumor	paired	4.23141245775995
10d3e234-716f-4bbc-bd0f-591929bd4ed0/37507a2a-32f7-418f-8d50-02bb4ff44767.FPKM.txt.gz	10d3e234-716f-4bbc-bd0f-591929bd4ed0	37507a2a-32f7-418f-8d50-02bb4ff44767.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A8HB	TCGA-XF-A8HB-01A	Primary Tumor	unpaired	5.756535209540673
3cfcbe49-3eb0-4740-b8e5-b453a1ae849a/b2eeaa64-92f6-46cf-a721-6b7e2c96739b.FPKM.txt.gz	3cfcbe49-3eb0-4740-b8e5-b453a1ae849a	b2eeaa64-92f6-46cf-a721-6b7e2c96739b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A2I6	TCGA-DK-A2I6-01A	Primary Tumor	unpaired	7.302377877438879
2458638c-9d23-4acf-9536-9393817e4084/9da3bf7e-e8b8-4a33-9746-9febc35b2b93.FPKM.txt.gz	2458638c-9d23-4acf-9536-9393817e4084	9da3bf7e-e8b8-4a33-9746-9febc35b2b93.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA4X	TCGA-ZF-AA4X-01A	Primary Tumor	unpaired	4.884321859406161
641f6e04-fd78-4a31-810a-ab54e0b37034/dfcc3adf-acac-470d-a49d-3285de250c86.FPKM.txt.gz	641f6e04-fd78-4a31-810a-ab54e0b37034	dfcc3adf-acac-470d-a49d-3285de250c86.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20P	TCGA-BT-A20P-01A	Primary Tumor	unpaired	4.2191617357458595
1587fd75-ff83-4aa0-a689-1a000cb14dfe/c5047f59-c194-4cb9-9538-9d06d0946d64.FPKM.txt.gz	1587fd75-ff83-4aa0-a689-1a000cb14dfe	c5047f59-c194-4cb9-9538-9d06d0946d64.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A3MF	TCGA-CF-A3MF-01A	Primary Tumor	unpaired	-0.7525621566666333
787be666-bbca-4b8a-bd88-10b440e9e011/7cbea792-5e47-424c-94d6-084fb49247d1.FPKM.txt.gz	787be666-bbca-4b8a-bd88-10b440e9e011	7cbea792-5e47-424c-94d6-084fb49247d1.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A47T	TCGA-CF-A47T-01A	Primary Tumor	unpaired	3.6234847148848015
bf8f534a-94e6-46ca-89d5-b76c92eaeebb/3a031010-7222-497e-8400-01d633c450d7.FPKM.txt.gz	bf8f534a-94e6-46ca-89d5-b76c92eaeebb	3a031010-7222-497e-8400-01d633c450d7.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-YC-A8S6	TCGA-YC-A8S6-01A	Primary Tumor	unpaired	4.893728301121751
d393ce89-5f4a-44e3-a733-180ccece29bb/66f3c0b6-1b74-484b-8540-32400cef01a7.FPKM.txt.gz	d393ce89-5f4a-44e3-a733-180ccece29bb	66f3c0b6-1b74-484b-8540-32400cef01a7.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3IS	TCGA-DK-A3IS-01A	Primary Tumor	unpaired	4.556147656363711
7fa1df3b-2343-4edf-8934-b227f80dd453/a8b4c5de-a026-4f9a-a9d5-e9d6748ade5e.FPKM.txt.gz	7fa1df3b-2343-4edf-8934-b227f80dd453	a8b4c5de-a026-4f9a-a9d5-e9d6748ade5e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A9SJ	TCGA-XF-A9SJ-01A	Primary Tumor	unpaired	5.376441914609248
e9f0b8b5-e4de-4b4f-8fd3-1f9a26e55b7f/333d5e75-56ba-4a36-86de-34569303e416.FPKM.txt.gz	e9f0b8b5-e4de-4b4f-8fd3-1f9a26e55b7f	333d5e75-56ba-4a36-86de-34569303e416.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-AA6T	TCGA-DK-AA6T-01A	Primary Tumor	unpaired	6.354332667771388
b675d567-6226-41b4-8edb-91a094d3d44a/99decb55-33ed-40cb-8068-8ab21bd2bc4f.FPKM.txt.gz	b675d567-6226-41b4-8edb-91a094d3d44a	99decb55-33ed-40cb-8068-8ab21bd2bc4f.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A5KE	TCGA-E7-A5KE-01A	Primary Tumor	unpaired	4.5446677174232155
4bb61cec-a424-456b-bed5-993fca6ea1e6/5a06ce70-77c7-4604-96a4-37de6df4306d.FPKM.txt.gz	4bb61cec-a424-456b-bed5-993fca6ea1e6	5a06ce70-77c7-4604-96a4-37de6df4306d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA4V	TCGA-ZF-AA4V-01A	Primary Tumor	unpaired	6.464671199161644
6e60a25b-4261-456c-8f4a-34ada2968db5/62a84486-f035-481e-bcda-0bfa9a847358.FPKM.txt.gz	6e60a25b-4261-456c-8f4a-34ada2968db5	62a84486-f035-481e-bcda-0bfa9a847358.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA53	TCGA-ZF-AA53-01A	Primary Tumor	unpaired	5.995841359405283
6327966f-9e9d-4eff-ae5b-dbfbd46b75f7/b544edf5-c496-4a5a-91c2-ac3801b97642.FPKM.txt.gz	6327966f-9e9d-4eff-ae5b-dbfbd46b75f7	b544edf5-c496-4a5a-91c2-ac3801b97642.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-A9RM	TCGA-ZF-A9RM-01A	Primary Tumor	unpaired	4.958769319005698
39ee6f3e-6d5e-4a3e-b66f-3b60d0365c52/5cf8ae27-a229-4309-9ba2-89bbab7f5da2.FPKM.txt.gz	39ee6f3e-6d5e-4a3e-b66f-3b60d0365c52	5cf8ae27-a229-4309-9ba2-89bbab7f5da2.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A72E	TCGA-CU-A72E-01A	Primary Tumor	unpaired	3.9999894361380153
5e61686b-9017-4c42-a1ad-80ffab58b353/15941f8a-9656-4fb5-95fa-70697a849f31.FPKM.txt.gz	5e61686b-9017-4c42-a1ad-80ffab58b353	15941f8a-9656-4fb5-95fa-70697a849f31.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A62O	TCGA-FD-A62O-01A	Primary Tumor	unpaired	5.018608791167831
effc4a29-59b3-4225-8b6e-c5d0a1d6043e/d8586777-f71e-433a-bdbb-2245fd5e2864.FPKM.txt.gz	effc4a29-59b3-4225-8b6e-c5d0a1d6043e	d8586777-f71e-433a-bdbb-2245fd5e2864.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BL-A3JM	TCGA-BL-A3JM-01A	Primary Tumor	unpaired	7.061621775384907
1746d0d7-b508-4d31-b8bd-474e4121a37e/1387d266-cdf6-4076-9f74-97d6ebcf792a.FPKM.txt.gz	1746d0d7-b508-4d31-b8bd-474e4121a37e	1387d266-cdf6-4076-9f74-97d6ebcf792a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FJ-A3ZF	TCGA-FJ-A3ZF-01A	Primary Tumor	unpaired	5.19387406645514
0a719754-5b84-4ac6-a465-f9c1ad254211/bd7e6aec-e9b1-40da-88a9-b13d8256c793.FPKM.txt.gz	0a719754-5b84-4ac6-a465-f9c1ad254211	bd7e6aec-e9b1-40da-88a9-b13d8256c793.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A0YO	TCGA-CU-A0YO-01A	Primary Tumor	unpaired	3.82707476578196
4d23ea52-15b7-497a-adc5-a61df86bd4e2/95800161-3f66-4e18-9d77-23a421dac0e8.FPKM.txt.gz	4d23ea52-15b7-497a-adc5-a61df86bd4e2	95800161-3f66-4e18-9d77-23a421dac0e8.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A5UA	TCGA-CF-A5UA-01A	Primary Tumor	unpaired	3.615148634627398
1cc6f32c-fe0d-45ec-8214-9e07f11b33ff/71976893-498b-481d-9f66-d9f6186d785b.FPKM.txt.gz	1cc6f32c-fe0d-45ec-8214-9e07f11b33ff	71976893-498b-481d-9f66-d9f6186d785b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-AAQO	TCGA-K4-AAQO-01A	Primary Tumor	unpaired	4.509309025609536
d9558777-9970-4407-b54a-aa55e06a9a6b/fa7e05f3-8f14-4491-98f7-6262781a1013.FPKM.txt.gz	d9558777-9970-4407-b54a-aa55e06a9a6b	fa7e05f3-8f14-4491-98f7-6262781a1013.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA7S	TCGA-4Z-AA7S-01A	Primary Tumor	unpaired	4.888154441679998
a8f2dcfa-c3f9-484f-91ff-26f1af7ccfdf/7e897441-3be3-472a-b15d-aa5bbe2aae8e.FPKM.txt.gz	a8f2dcfa-c3f9-484f-91ff-26f1af7ccfdf	7e897441-3be3-472a-b15d-aa5bbe2aae8e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A3MH	TCGA-CF-A3MH-01A	Primary Tumor	unpaired	3.4285311670209637
93e93ff6-d230-4e60-a020-cacd0a284d03/30d33e0d-c983-4ee2-9ef7-aba934b8c2e9.FPKM.txt.gz	93e93ff6-d230-4e60-a020-cacd0a284d03	30d33e0d-c983-4ee2-9ef7-aba934b8c2e9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A6B2	TCGA-DK-A6B2-01A	Primary Tumor	unpaired	5.405178020693282
1dd405fb-d053-4df6-8695-f01e4083e459/2a0bb88a-8f8d-4a9e-bed2-f1a3d43eda86.FPKM.txt.gz	1dd405fb-d053-4df6-8695-f01e4083e459	2a0bb88a-8f8d-4a9e-bed2-f1a3d43eda86.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA86	TCGA-4Z-AA86-01A	Primary Tumor	unpaired	5.906223820892173
936c0db4-af45-4a2b-891a-dcde4a3897ed/6eb5b143-1f76-4434-a9df-3d602ac0ba72.FPKM.txt.gz	936c0db4-af45-4a2b-891a-dcde4a3897ed	6eb5b143-1f76-4434-a9df-3d602ac0ba72.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BL-A0C8	TCGA-BL-A0C8-01B	Primary Tumor	unpaired	4.476079375261933
c2f08b1f-de2b-4907-a50d-c0e114be2b8f/fc996542-68f3-4b12-9eb5-dd8680f461fa.FPKM.txt.gz	c2f08b1f-de2b-4907-a50d-c0e114be2b8f	fc996542-68f3-4b12-9eb5-dd8680f461fa.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-5N-A9KI	TCGA-5N-A9KI-01A	Primary Tumor	unpaired	6.302191049766256
c15192c7-2c27-4af8-82a9-20494a2ed4dd/649c3bb0-8f5c-4371-b0ba-e1894aca8244.FPKM.txt.gz	c15192c7-2c27-4af8-82a9-20494a2ed4dd	649c3bb0-8f5c-4371-b0ba-e1894aca8244.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GU-AATO	TCGA-GU-AATO-01A	Primary Tumor	unpaired	4.545233971347744
8e3ed86a-0709-45bc-b167-262223e55752/16ac1a9e-3ae4-4fa6-9fff-e0efaaabe9c9.FPKM.txt.gz	8e3ed86a-0709-45bc-b167-262223e55752	16ac1a9e-3ae4-4fa6-9fff-e0efaaabe9c9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A9FH	TCGA-CF-A9FH-01A	Primary Tumor	unpaired	3.62289550437596
59a36833-fe21-4835-a3d6-6cb01b557205/3278ba63-a2b0-414a-baf0-01d37f24d71d.FPKM.txt.gz	59a36833-fe21-4835-a3d6-6cb01b557205	3278ba63-a2b0-414a-baf0-01d37f24d71d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A6TG	TCGA-FD-A6TG-01A	Primary Tumor	unpaired	5.031161888323885
5e5e9e73-1a7d-4548-a695-b2eefc27e682/590580de-17b7-441c-9701-f17034fb3fda.FPKM.txt.gz	5e5e9e73-1a7d-4548-a695-b2eefc27e682	590580de-17b7-441c-9701-f17034fb3fda.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA7O	TCGA-4Z-AA7O-01A	Primary Tumor	unpaired	4.136744309885596
2bb739a6-1d9b-4415-a2fb-0ed9331df5ac/f360f886-9780-4578-b2bf-9fd791c02d9e.FPKM.txt.gz	2bb739a6-1d9b-4415-a2fb-0ed9331df5ac	f360f886-9780-4578-b2bf-9fd791c02d9e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GV-A3QI	TCGA-GV-A3QI-01A	Primary Tumor	unpaired	7.251510310764549
28d6583e-0435-441a-a76b-248f0bf6a784/8513e464-f8f9-42bf-ae6f-fe897fffa508.FPKM.txt.gz	28d6583e-0435-441a-a76b-248f0bf6a784	8513e464-f8f9-42bf-ae6f-fe897fffa508.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A6AV	TCGA-DK-A6AV-01A	Primary Tumor	unpaired	5.410717488901054
fd2233f7-73c7-4486-beef-82a1d9781c9e/069bb049-794f-474e-8238-9132c2b57a8f.FPKM.txt.gz	fd2233f7-73c7-4486-beef-82a1d9781c9e	069bb049-794f-474e-8238-9132c2b57a8f.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A1A3	TCGA-DK-A1A3-01A	Primary Tumor	unpaired	5.6982347344345134
7565cf39-57e1-4ce5-852a-635247d9150b/749d2d3e-a2bd-4f3e-a3fa-22a7e0a3ee9c.FPKM.txt.gz	7565cf39-57e1-4ce5-852a-635247d9150b	749d2d3e-a2bd-4f3e-a3fa-22a7e0a3ee9c.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A6C6	TCGA-GD-A6C6-01A	Primary Tumor	unpaired	3.8120076071708793
cc36692b-7cf1-4865-9e1d-0d65804a374b/1ba61e5e-da39-4d95-a091-8a49a71b716b.FPKM.txt.gz	cc36692b-7cf1-4865-9e1d-0d65804a374b	1ba61e5e-da39-4d95-a091-8a49a71b716b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A3RD	TCGA-GC-A3RD-01A	Primary Tumor	unpaired	4.389866653019997
c5129441-ade5-42c9-9da7-fa652b63ed9f/e8fd8597-6516-4f80-89e2-1dd1a3d50f56.FPKM.txt.gz	c5129441-ade5-42c9-9da7-fa652b63ed9f	e8fd8597-6516-4f80-89e2-1dd1a3d50f56.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20R	TCGA-BT-A20R-01A	Primary Tumor	paired	5.599469405262456
c05d6334-1683-4f03-bf85-ff3b48c3dd8e/43d48f39-2a2c-4b0c-a333-8fb61e3857ae.FPKM.txt.gz	c05d6334-1683-4f03-bf85-ff3b48c3dd8e	43d48f39-2a2c-4b0c-a333-8fb61e3857ae.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A8HX	TCGA-CF-A8HX-01A	Primary Tumor	unpaired	1.7912861611570705
